what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1357860971341
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1357860971341
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1357860971341
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1357860971341
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1357860971341
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1357860971341
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1357860971341
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1357860971341
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1357860971341
os,sysinfo,,,"macosx",1357860971346
arch,sysinfo,,,"x86_64",1357860971346
ws,sysinfo,,,"cocoa",1357860971346
locale,sysinfo,,,"en_US",1357860971346
processors,sysinfo,,,"2",1357860971346
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1357860971346
java.runtime.version,sysinfo,,,"1.6.0_37-b06-434-11M3909",1357860971346
java.specification.name,sysinfo,,,"Java Platform API Specification",1357860971346
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1357860971346
java.specification.version,sysinfo,,,"1.6",1357860971346
java.vendor,sysinfo,,,"Apple Inc.",1357860971346
java.version,sysinfo,,,"1.6.0_37",1357860971346
java.vm.info,sysinfo,,,"mixed mode",1357860971346
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1357860971346
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1357860971346
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1357860971346
java.vm.specification.version,sysinfo,,,"1.0",1357860971346
java.vm.vendor,sysinfo,,,"Apple Inc.",1357860971346
java.vm.version,sysinfo,,,"20.12-b01-434",1357860971346
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1357860971551
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1357860971573
started,bundle,com.android.ide.eclipse.base,21.0.0.v201210310015-519525,"com.android.ide.eclipse.base",1357860971781
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1357860972262
started,bundle,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.adt",1357860972490
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201211091924,"org.eclipse.cdt.codan.ui.cxx",1357860972609
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1357860972619
started,bundle,org.eclipse.equinox.p2.operations,2.1.1.R37x_v20111111,"org.eclipse.equinox.p2.operations",1357860972635
started,bundle,org.eclipse.equinox.p2.engine,2.1.1.R37x_v20111003,"org.eclipse.equinox.p2.engine",1357860972643
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110815-1419,"org.eclipse.equinox.p2.metadata",1357860972711
started,bundle,org.eclipse.equinox.p2.repository,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.repository",1357860972725
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.metadata.repository",1357860972732
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.scheduler",1357860972775
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110815-1419,"org.eclipse.equinox.p2.updatechecker",1357860972776
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.100.v201201031437,"org.eclipse.jst.ws.jaxws.utils",1357860972798
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1357860972817
started,bundle,org.eclipse.mylyn.team.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.team.ui",1357860972928
started,bundle,org.eclipse.cdt.dsf,2.2.0.201211091924,"org.eclipse.cdt.dsf",1357860973244
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201211091924,"org.eclipse.cdt.dsf.gdb",1357860973246
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201211091924,"org.eclipse.cdt.dsf.gdb.ui",1357860973289
started,bundle,org.eclipse.cdt.make.core,7.1.2.201211091924,"org.eclipse.cdt.make.core",1357860973881
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201211091924,"org.eclipse.cdt.managedbuilder.core",1357860974045
started,bundle,org.eclipse.cdt.core,5.3.2.201211091924,"org.eclipse.cdt.core",1357860974297
started,bundle,org.eclipse.cdt.ui,5.3.2.201211091924,"org.eclipse.cdt.ui",1357860974755
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201211091924,"org.eclipse.cdt.make.ui",1357860974769
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201211091924,"org.eclipse.cdt.codan.core.cxx",1357860974788
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201211091924,"org.eclipse.cdt.codan.core",1357860974796
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201211091924,"org.eclipse.cdt.codan.checkers",1357860974890
activated,view,org.python.pydev,2.7.1.2012100913,"org.python.pydev.navigator.view",1357861068682
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1357861068684
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357861068825
opened,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1357861084775
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1357861085179
opened,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1357861092465
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1357861092608
opened,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1357861096389
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1357861096501
opened,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1357861151666
activated,editor,org.python.pydev,2.7.1.2012100913,"org.python.pydev.editor.PythonEditor",1357861151722
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357861164986
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357861679059
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1357861686789
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357863894645
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357865467959
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357865503294
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357865506644
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357865506793
